date,socmed,mean_cases,mean_deaths,mean_vaxxed,mean_dose1,mean_cases_adj,mean_deaths_adj,mean_compvax_adj,mean_dose1_adj
2020-03-18,No Facebook or Twitter,7.521739130434782,0.09565217391304348,0,0,4.7486227748882096e-5,8.742953835687581e-7,0,0
2020-03-18,Twitter but no Facebook,9.431818181818182,0.09090909090909091,0,0,1.9595422700267636e-5,1.7058271371627616e-7,0,0
2020-03-19,Both Facebook and Twitter,18.858695652173914,0.4166666666666667,0,0,4.65506783520638e-5,5.270924900698058e-7,0,0
2020-03-19,Facebook but no Twitter,9.589473684210526,0.12982456140350876,0,0,4.8072182201223974e-5,1.3704523489133385e-6,0,0
2020-03-19,No Facebook or Twitter,8.787671232876713,0.1506849315068493,0,0,5.692844269357584e-5,1.9571619226874047e-6,0,0
2020-03-19,Twitter but no Facebook,12.829787234042554,0.14893617021276595,0,0,2.3076521000643277e-5,2.2247593971434587e-7,0,0
2020-03-20,Both Facebook and Twitter,22.976973684210527,0.46710526315789475,0,0,5.586514691294775e-5,5.545303477182013e-7,0,0
2020-03-20,Facebook but no Twitter,10.707650273224044,0.11202185792349727,0,0,5.317014874657634e-5,1.0956335588952566e-6,0,0
2020-03-20,No Facebook or Twitter,9.410112359550562,0.17415730337078653,0,0,7.012923615000078e-5,1.981312686561425e-6,0,0
2020-03-20,Twitter but no Facebook,16.442307692307693,0.17307692307692307,0,0,2.613553670061397e-5,2.3005465019476268e-7,0,0
2020-03-21,Both Facebook and Twitter,28.01834862385321,0.5229357798165137,0,0,6.591998352505814e-5,6.594652117020508e-7,0,0
2020-03-21,Facebook but no Twitter,13.200471698113208,0.14622641509433962,0,0,6.516555675893747e-5,1.1942554832921621e-6,0,0
2020-03-21,No Facebook or Twitter,9.909090909090908,0.17703349282296652,0,0,7.8371162336414e-5,1.7797510984134336e-6,0,0
2020-03-21,Twitter but no Facebook,19.087719298245613,0.24561403508771928,0,0,2.924667168013049e-5,3.0892740679758064e-7,0,0
2020-03-22,Both Facebook and Twitter,33.68156424581006,0.553072625698324,0,0,7.847428425319738e-5,9.362074512963806e-7,0,0
2020-03-22,Facebook but no Twitter,15.780645161290323,0.15913978494623657,0,0,7.521500934044838e-5,1.5936776769848685e-6,0,0
2020-03-22,No Facebook or Twitter,11.168831168831169,0.18614718614718614,0,0,8.73966025019495e-5,1.7320132118867328e-6,0,0
2020-03-22,Twitter but no Facebook,23,0.3125,0,0,3.650037342995942e-5,6.102080819140524e-7,0,0
2020-03-23,Both Facebook and Twitter,41.11842105263158,0.6210526315789474,0,0,9.34316832157603e-5,1.0140975130887984e-6,0,0
2020-03-23,Facebook but no Twitter,18.550898203592816,0.1996007984031936,0,0,8.595848522890924e-5,1.932196806259057e-6,0,0
2020-03-23,No Facebook or Twitter,13.367588932806324,0.22134387351778656,0,0,1.0003254767564841e-4,1.9179366097063366e-6,0,0
2020-03-23,Twitter but no Facebook,25.81159420289855,0.391304347826087,0,0,4.323588522309391e-5,6.93773595861728e-7,0,0
2020-03-24,Facebook but no Twitter,20.689285714285713,0.24107142857142858,0,0,1.0029942764832745e-4,2.1664496228828602e-6,0,0
2020-03-24,Both Facebook and Twitter,47.89876543209876,0.7135802469135802,0,0,1.0777440666234918e-4,1.1793684843506705e-6,0,0
2020-03-24,No Facebook or Twitter,15.51578947368421,0.2807017543859649,0,0,1.2415303772798182e-4,4.086742863621934e-6,0,0
2020-03-24,Twitter but no Facebook,28.974683544303797,0.3924050632911392,0,0,5.1567739698642015e-5,6.271848140064251e-7,0,0
2020-03-25,Facebook but no Twitter,21.903374233128833,0.28680981595092025,0,0,1.116302690946227e-4,2.3232366888648606e-6,0,0
2020-03-25,Both Facebook and Twitter,54.725,0.8272727272727273,0,0,1.2426689356708767e-4,1.3273947241100723e-6,0,0
2020-03-25,No Facebook or Twitter,16.87311178247734,0.311178247734139,0,0,1.3464334060209703e-4,6.343417920933098e-6,0,0
2020-03-25,Twitter but no Facebook,34.28915662650602,0.4819277108433735,0,0,6.260806177233975e-5,8.001201622969635e-7,0,0
2020-03-26,Facebook but no Twitter,24.978991596638654,0.3445378151260504,0,0,1.3209771272172768e-4,2.5348597390674554e-6,0,0
2020-03-26,Both Facebook and Twitter,65.17344753747324,0.961456102783726,0,0,1.4961961769629966e-4,1.817635821075063e-6,0,0
2020-03-26,No Facebook or Twitter,21.013736263736263,0.35714285714285715,0,0,1.5792042898322338e-4,6.09755022832377e-6,0,0
2020-03-26,Twitter but no Facebook,42.70454545454545,0.625,0,0,7.694189704739713e-5,2.2121866322458437e-6,0,0
2020-03-27,Facebook but no Twitter,28.38372093023256,0.4405684754521964,0,0,1.5300561274895312e-4,3.3407896845053654e-6,0,0
2020-03-27,Both Facebook and Twitter,76.93442622950819,1.2192622950819672,0,0,1.7497133656408856e-4,2.446430635684394e-6,0,0
2020-03-27,No Facebook or Twitter,24.360696517412936,0.417910447761194,0,0,1.7871926212000355e-4,6.654554205350787e-6,0,0
2020-03-27,Twitter but no Facebook,52.40449438202247,0.8651685393258427,0,0,9.762650358779598e-5,3.3091434055912756e-6,0,0
2020-03-28,Facebook but no Twitter,32.5,0.5171990171990172,0,0,1.7205735531144087e-4,3.749587374876213e-6,0,0
2020-03-28,Both Facebook and Twitter,87.07797270955166,1.3840155945419104,0,0,2.0115591154012917e-4,2.889790136393501e-6,0,0
2020-03-28,No Facebook or Twitter,27.812785388127853,0.4931506849315068,0,0,2.0200554579543728e-4,7.210118067097388e-6,0,0
2020-03-28,Twitter but no Facebook,59.65217391304348,1.0543478260869565,0,0,1.1406361232596928e-4,3.542576214656929e-6,0,0
2020-03-29,Facebook but no Twitter,35.91121495327103,0.552570093457944,0,0,1.9203145951619436e-4,3.905444179223914e-6,0,0
