fips,STNAME,population
21193,Kentucky,25456
21195,Kentucky,57057
21197,Kentucky,12218
21199,Kentucky,65530
21201,Kentucky,2136
21203,Kentucky,16750
21205,Kentucky,24682
21207,Kentucky,17998
21209,Kentucky,58470
21211,Kentucky,49611
21213,Kentucky,18635
21215,Kentucky,19585
21217,Kentucky,25707
21219,Kentucky,12448
21221,Kentucky,14776
21223,Kentucky,8481
21225,Kentucky,14443
21227,Kentucky,134510
21229,Kentucky,12147
21231,Kentucky,20209
21233,Kentucky,12923
21235,Kentucky,36451
21237,Kentucky,7106
21239,Kentucky,26765
22001,Louisiana,61918
22003,Louisiana,25440
22005,Louisiana,128665
22007,Louisiana,21621
22009,Louisiana,39966
22011,Louisiana,37881
22013,Louisiana,12983
22015,Louisiana,127275
22017,Louisiana,237479
22019,Louisiana,203310
22021,Louisiana,9839
22023,Louisiana,7003
22025,Louisiana,9226
22027,Louisiana,15508
22029,Louisiana,18914
22031,Louisiana,27650
22033,Louisiana,439729
22035,Louisiana,6589
22037,Louisiana,18882
22039,Louisiana,33276
22041,Louisiana,19723
22043,Louisiana,22254
22045,Louisiana,68991
22047,Louisiana,32070
22049,Louisiana,15574
22051,Louisiana,432346
22053,Louisiana,31208
22055,Louisiana,246518
22057,Louisiana,97596
22059,Louisiana,15021
22061,Louisiana,46552
22063,Louisiana,143737
22065,Louisiana,10635
22067,Louisiana,24227
22069,Louisiana,37655
22071,Louisiana,389476
22073,Louisiana,152439
22075,Louisiana,23113
22077,Louisiana,21529
22079,Louisiana,128567
22081,Louisiana,8286
22083,Louisiana,20014
22085,Louisiana,23803
22087,Louisiana,47647
22089,Louisiana,52987
22091,Louisiana,10081
22093,Louisiana,20727
22095,Louisiana,42516
22097,Louisiana,81440
22099,Louisiana,52954
22101,Louisiana,48330
22103,Louisiana,263446
22105,Louisiana,136765
22107,Louisiana,4178
22109,Louisiana,109859
22111,Louisiana,22170
22113,Louisiana,59378
22115,Louisiana,47894
22117,Louisiana,45773
22119,Louisiana,37943
22121,Louisiana,26792
22123,Louisiana,10646
22125,Louisiana,15465
22127,Louisiana,13839
23001,Maine,108547
23003,Maine,66804
23005,Maine,298111
23007,Maine,29986
23009,Maine,55088
23011,Maine,122955
23013,Maine,39951
23015,Maine,34775
23017,Maine,58132
23019,Maine,151655
23021,Maine,16996
23023,Maine,36044
23025,Maine,50635
23027,Maine,39923
23029,Maine,31473
23031,Maine,209066
24001,Maryland,70057
24003,Maryland,582777
24005,Maryland,826017
24009,Maryland,93072
24011,Maryland,33492
24013,Maryland,169092
24015,Maryland,103419
24017,Maryland,164436
24019,Maryland,31853
24021,Maryland,265161
24023,Maryland,28852
24025,Maryland,256805
24027,Maryland,328200
24029,Maryland,19192
24031,Maryland,1051816
24033,Maryland,909612
24035,Maryland,51167
24037,Maryland,114687
24039,Maryland,25453
24041,Maryland,36972
24043,Maryland,151146
24045,Maryland,103990
24047,Maryland,52403
24510,Maryland,586131
25001,Massachusetts,213164
25003,Massachusetts,124571
25005,Massachusetts,566765
25007,Massachusetts,17461
25009,Massachusetts,791263
25011,Massachusetts,70267
25013,Massachusetts,463986
25015,Massachusetts,161401
25017,Massachusetts,1609379
25019,Massachusetts,11376
25021,Massachusetts,709409
25023,Massachusetts,523738
25025,Massachusetts,801582
25027,Massachusetts,829212
26001,Michigan,10505
26003,Michigan,9015
26005,Michigan,118927
26007,Michigan,28238
26009,Michigan,23449
26011,Michigan,14953
26013,Michigan,8164
26015,Michigan,62061
26017,Michigan,102387
26019,Michigan,17852
26021,Michigan,153025
26023,Michigan,43424
26025,Michigan,133580
26027,Michigan,51584
26029,Michigan,26105
26031,Michigan,25365
26033,Michigan,36958
26035,Michigan,30771
26037,Michigan,79753
26039,Michigan,13981
26041,Michigan,35612
26043,Michigan,25112
26045,Michigan,110148
26047,Michigan,33342
26049,Michigan,404794
26051,Michigan,25424
26053,Michigan,13842
26055,Michigan,93592
26057,Michigan,40283
